𣘴	檭
𣙜	⿰木寉 què
𣚚	欘
𣚯	⿰⿳士冖束殳 sù
𣜄	⿱吂⿲月木凡 luó
𣟄	⿰木橐 tuò
𣟴	⿰木⿸户睘 shuān
𣢑	⿰㞢欠 xī
𣥂	⿱⿰丿丨丿 tà
𣨼	殢
𣪊	⿰⿳士冖一殳 què hù jiǎng
𣪕	⿰㿝殳 guǐ
𣪛	⿰⿳士冖⿵冂一殳 hù
𣪝	⿰⿳士冖土殳 kū
𣪨	⿹⿰⿳士冖一殳大 xuè
𣪬	⿰⿳士冖牛殳 gòu
𣪳	⿹⿰⿳士冖一殳欠 hù
𣪸	⿹⿰⿳士冖一殳古 gù
𣪹	⿹⿰⿳士冖一殳出 què
𣫀	⿰⿳士冖告殳 gǔ
𣫃	⿰⿳士冖孚殳 gòu
𣫅	⿰⿳士冖角殳 hú
𣫈	⿰⿳士冖酉殳 hú
𣫌	⿹⿰⿳士冖一殳孚 gòu
𣫎	⿹⿰⿳士冖一殳束 sù
𣫓	⿹⿰⿳士冖一殳林 kū
𣫔	⿹⿰⿳士冖一殳豖 dú
𣫗	⿰⿳士冖⿱口米殳 gǔ
𣬉	⿱囟比 pí
𣬠	⿺毛几 jī
𣬶	⿺毛巴 bā
𣭡	⿰先毛 xiǎn
𣭲	⿰甬毛 rǒng
𣰇	⿺毛矞 rǒng
𣱝	氭
𣶒	⿲丿⿳⿰#(一-丨)𠃊一⿰𠃍厂丨 淵右 yuān
𣶩	澅
𣸨	濙
𣹬	⿹⿰⿳士冖一殳水 hú
𣽷	瀃
𤆓	爌
𤆡	熓
𤇃	爄
𤇄	熌
𤇭	爖
𤇹	熚
𤈄	⿰火吉 jí
𤈮	⿹[右下包围]戈⿻丨二火 zāi
𤈶	熉
𤈿	⿱求灬 rán
𤋏	熡
𤍐	⿱推火 tuì
𤎥	⿰帛炎 tǎn chān
𤏶	⿰火麀 āo
𤘸	⿰牜⿱屮又 tāo
𤚲	⿹⿰⿳士冖一殳牛 gòu
𤚴	⿰牜馬 mǔ
𤚼	⿱⿰⿳士冖一殳牛 gòu
𤛘	⿰牛莽 māng
𤛟	⿰牛⿱艹⿹勹用 bèi
𤝽	⿰犭聿 lǜ
𤞃	獩
𤞤	玁
𤞶	⿰犭罕 hān
𤥔	⿱夙玉 sù
𤥺	⿰王奂 huàn
𤦀	瓕
𤭢	cèi ⿰卒瓦
𤰈	⿱艹⿹勹用 bèi
𤰚	⿱九田 lā
𤰜	⿰田厶 mǔ
𤱈	⿰亩卜 mǔ
𤱊	⿱厸田 liú
𤱝	⿰田仝 tuǎn
𤱱	⿹𢦏田 zǎi zài
𤱵	⿱龹田 bāng
𤲬	⿰田耎 ruán
𤲶	⿰男男 luán niǎo
𤴡	⿳十冖⿳田厶龰 zhì
𤵐	⿸疒勿 wù
𤵟	⿸疒⿱屮又 táo
𤸑	⿸疒复 fù
𥀎	⿹⿰⿳士冖一殳皮 què
𥀲	⿰皮賣 dú
𥁐	⿱台皿 hǎi
𥁢	䀉
𥃤	⿰目乚 jiǎo
𥃧	⿰目丩 jiǎo
𥄨	⿰目丑 chǒu
𥅰	⿹𢦏目 zāi
𥅻	⿰目充 chòng
𥆝	⿱沙目 suō
𥆧	瞤
𥇛	⿻大䀠 jū jù xì
𥉳	⿰目留 liū
𥎊	⿰矛堇 qín
𥐟	礒
𥐻	碙
𥑪	⿰石⿹勹⿺𠃊㐅 náo
𥔳	⿹⿰⿳士冖一殳石 què
𥕖	⿰石郭 guǒ
𥘌	禨
𥛱	⿱彭示 bēng
𥞛	⿰禾朵 duò
𥟂	䅘
𥡜	⿰禾累 luó suì
𥢵	⿱吂⿲月禾凡 luó
𥤧	⿱穴土 sài
𥥷	⿱穴豆 dòu
𥦗	⿳穴口心 chuāng
𥩟	竚
𥬞	籋
𥬠	篘
𥬯	⿱𥫗考 kǎo
𥮜	䉲
𥷑	⿱𥫗觱 bì
𥸯	䊪
𥿝	⿱代糸 dài
𦀂	⿹𢦏糸 zhī
𦂳	⿱⿰臣⿱𠂉丶糸 jǐn
𦃂	⿱⿰⿷匚⿳丨口丨⿱𠂉丶糸 jǐn
𦅘	⿰糹間 jiàn
𦆁	⿱吂⿲月糸凡 luó
𦈉	緷
𦈏	緍
𦈖	䌈
𦈛	繓
𦈠	䌥
𦉆	⿰缶查 chá
𦊊	⿱罒天 tiān
𦊑	⿱罒卯 liǔ
𦌊	⿱罒欶 sù
𦍩	⿰羊古 gǔ
𦎯	⿹⿰⿳士冖一殳羊 gòu
𦓈	⿱老䎜 xiòng
𦓔	⿱而而 ér xū
𦔻	⿰耳口 shèng
𦕈	⿰耳少 miǎo
𦕓	⿱⿰工几耳 xù
𦙼	⿱此月 zì
𦛹	⿹[右下包围]戈⿻丨二肉 zì
𦞦	⿰月隺 huò
𦠿	⿰月䪞 sà
𦣄	⿱吂⿲月革凡 léi
𦣉	⿱吂⿲月叟凡 léi
𦣖	⿱吂⿲月晶凡 luó
𦣞	⿷匚⿳丨口丨 yí
𦦗	栄
𦧉	⿰舌支 qì
𦧟	⿰舌沓 tà
𦧥	⿰沓舌 tà
𦨩	⿰舟龙 lóng
𦪙	⿰舟翕 tà
𦪽	⿰舟龍 lóng
𦬮	焭
𦬼	薾
𦰏	蓧
𦵏	⿳艹死大 zàng
𧄜	⿱艹繠 ruǐ
𧈡	⿱又虫 zǎo
𧉓	⿱木虫 dù
𧊄	蟙
𧎅	⿰⿳士冖虫殳 hú
𧎥	⿰虫扇 shàn
𧏖	蠙
𧒧	⿳宀心䖵 mì
𧕝	⿳宀心⿱罒䖵 níng
𧚝	⿹[右下包围]戈⿻丨二衣 cái
𧜜	⿰月⿱龹衣 shèng
𧜟	⿱商衣 yì
𧝹	⿱吂⿲月衣凡 luǒ
𧟄	⿰衤襄 ráng
𧦧	⿰言㐌 yí
𧧬	⿹𢦏言 zhī zhí
𧮰	⿰谷今 hān
𧯥	⿹𢦏豆 zài
𧯸	⿰壹殳 gǔ móu
𧰵	⿰豖殳 dū
𧴪	⿱⺌貝 suǒ
𧶧	䞎
𧹒	買
𧹗	贃
𧹞	⿰赤皮 nǎn
𧹲	⿹⿰⿳士冖一殳赤 hù
𧿛	蹤
𨀁	躘
𨂿	⿰𧾷歪 wǎi
𨃅	⿰𧾷拜 bāi
𨃗	⿰月⿱龹足 téng
𨅛	䠱
𨉣	⿰身叚 hā
𨊥	⿱車凵 wèi
𨎪	⿰車⿱而而 ér
𨐅	軗
𨓈	⿺辶⿱氏口 kuò
𨙻	⿰冄阝 nà
𨚗	⿰冉阝 nà
𨚵	⿹𢦏邑 zài
𨛚	⿹[右下包围]戈⿻丨二邑 zài
𨝽	䢵
𨞪	𫜷
𨠾	⿹[右下包围]戈⿻丨二酉 zài zuì
𨦡	⿰釒羊 yáng
𨭛	⿰釒葛 là
𨭞	⿱吂⿲月金凡 luó
𨰠	⿰金羸 luó
